epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,3812.89,0.39431,0.40378,0.83391,0.98052,0.99206,0.99453,0.9086,0.37016,0.33915,0.80709,0.00035275,0.00035275,0.00035275
134,3841.14,0.38793,0.39738,0.82093,0.9796,0.99042,0.9944,0.92627,0.34235,0.33023,0.80618,0.000350687,0.000350687,0.000350687
135,3869.66,0.3952,0.40335,0.81717,0.97133,0.99416,0.99453,0.92889,0.34665,0.33098,0.80583,0.000348625,0.000348625,0.000348625
136,3898.09,0.41192,0.41489,0.82505,0.97419,0.99586,0.99487,0.93198,0.34723,0.33027,0.8049,0.000346563,0.000346563,0.000346563
137,3926.47,0.37715,0.39611,0.83185,0.98233,0.98059,0.99467,0.94071,0.34001,0.32567,0.80623,0.0003445,0.0003445,0.0003445
138,3956.46,0.40944,0.43075,0.82841,0.98623,0.98263,0.9948,0.92564,0.39716,0.33512,0.81071,0.000342438,0.000342438,0.000342438
139,3984.81,0.39886,0.39883,0.84051,0.98579,0.98679,0.9948,0.92151,0.3514,0.32746,0.80643,0.000340375,0.000340375,0.000340375
140,4014.19,0.39261,0.39191,0.82868,0.98356,0.98767,0.9948,0.91638,0.33477,0.33216,0.80559,0.000338313,0.000338313,0.000338313
141,4042.7,0.41597,0.40967,0.84115,0.9819,0.98911,0.99467,0.9079,0.36342,0.33842,0.80716,0.00033625,0.00033625,0.00033625
142,4071.09,0.39533,0.40289,0.82214,0.98641,0.98772,0.99467,0.93299,0.33122,0.32198,0.80616,0.000334188,0.000334188,0.000334188
143,4099.48,0.40203,0.41443,0.83354,0.98545,0.98972,0.99467,0.9305,0.3288,0.31437,0.80541,0.000332125,0.000332125,0.000332125
144,4127.72,0.41055,0.40871,0.82305,0.98417,0.98887,0.9948,0.93413,0.34236,0.32398,0.80726,0.000330063,0.000330063,0.000330063
145,4155.88,0.40589,0.4289,0.83217,0.98411,0.98909,0.9948,0.93361,0.33969,0.32842,0.80754,0.000328,0.000328,0.000328
146,4184.18,0.39742,0.40725,0.82646,0.98509,0.98578,0.99466,0.93858,0.32989,0.31646,0.80761,0.000325938,0.000325938,0.000325938
147,4213.11,0.41221,0.41603,0.8347,0.98909,0.98571,0.99479,0.93154,0.35415,0.31663,0.81041,0.000323875,0.000323875,0.000323875
148,4242.52,0.38791,0.38547,0.83561,0.98979,0.99241,0.9948,0.94048,0.32924,0.31013,0.80772,0.000321812,0.000321812,0.000321812
149,4271.06,0.39096,0.38453,0.83381,0.98835,0.99369,0.9948,0.93755,0.33476,0.30813,0.8081,0.00031975,0.00031975,0.00031975
150,4299.39,0.37514,0.38336,0.83,0.98037,0.99491,0.99479,0.93421,0.33585,0.31487,0.80721,0.000317688,0.000317688,0.000317688
151,4327.67,0.39331,0.39771,0.83451,0.97574,0.99269,0.99448,0.92181,0.34251,0.31885,0.80696,0.000315625,0.000315625,0.000315625
152,4356.01,0.38802,0.38669,0.83214,0.96904,0.99361,0.99427,0.92656,0.34018,0.31101,0.80746,0.000313563,0.000313563,0.000313563
153,4384.82,0.41148,0.4178,0.83515,0.97705,0.9951,0.9944,0.93033,0.33696,0.31127,0.80626,0.0003115,0.0003115,0.0003115
154,4413.9,0.38552,0.38196,0.82732,0.97922,0.9947,0.99422,0.93682,0.32897,0.31159,0.80564,0.000309437,0.000309437,0.000309437
155,4442.8,0.3804,0.41118,0.83506,0.98158,0.98955,0.99435,0.92941,0.35899,0.31014,0.80671,0.000307375,0.000307375,0.000307375
156,4472.68,0.39662,0.38888,0.83127,0.98536,0.99166,0.99462,0.8985,0.43021,0.32689,0.81334,0.000305312,0.000305312,0.000305312
157,4501.43,0.39633,0.39436,0.82641,0.98461,0.99014,0.99449,0.90876,0.37365,0.31909,0.81077,0.00030325,0.00030325,0.00030325
158,4530.03,0.39727,0.38286,0.8305,0.98473,0.98974,0.99449,0.92377,0.33594,0.31558,0.80801,0.000301188,0.000301188,0.000301188
159,4558.68,0.38048,0.38239,0.83577,0.98764,0.99021,0.99449,0.92825,0.34142,0.31674,0.80828,0.000299125,0.000299125,0.000299125
160,4587.16,0.39666,0.40613,0.83664,0.98694,0.99356,0.99462,0.93485,0.33141,0.31353,0.80722,0.000297063,0.000297063,0.000297063
161,4615.95,0.39514,0.3835,0.83003,0.98316,0.99304,0.99462,0.93864,0.32648,0.31401,0.80553,0.000295,0.000295,0.000295
